Change Component Footprint: Designator=R18 Old Footprint=0402-0.55mm New Footprint=0402-SPLIT-3-0.55mm
Change Physical Footprint: Designator=2V5 Filter Old Footprint=TP-LOOP New Footprint=TP-LOOP
Change Physical Footprint: Designator=2V5 Filter Old Footprint=TP-LOOP New Footprint=TP-LOOP
Change Physical Footprint: Designator=5V-TS Old Footprint=TP-LOOP New Footprint=TP-LOOP
Change Physical Footprint: Designator=5V-VCO Old Footprint=TP-LOOP New Footprint=TP-LOOP
Change Physical Footprint: Designator=8V Old Footprint=TP-LOOP New Footprint=TP-LOOP
Change Physical Footprint: Designator=20V Old Footprint=TP-LOOP New Footprint=TP-LOOP
Change Physical Footprint: Designator=C1 Old Footprint=Radial-SMD-8x10mm New Footprint=Radial-SMD-8x10mm
Change Physical Footprint: Designator=C2 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C3 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C4 Old Footprint=Radial-SMD-8x10mm New Footprint=Radial-SMD-8x10mm
Change Physical Footprint: Designator=C5 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C6 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C7 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C8 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C9 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C10 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C11 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C12 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C13 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C14 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C15 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C16 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C17 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C18 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C19 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C20 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C21 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C22 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C23 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C24 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C29 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C30 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C31 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C32 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C35 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C38 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
Change Physical Footprint: Designator=C39 Old Footprint=C1210-2.5mm New Footprint=C1210-2.5mm
Change Physical Footprint: Designator=C40 Old Footprint=C1210-2.5mm New Footprint=C1210-2.5mm
Change Physical Footprint: Designator=C41 Old Footprint=C1210-2.5mm New Footprint=C1210-2.5mm
Change Physical Footprint: Designator=C44 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C45 Old Footprint=C0805-1.25MM New Footprint=C0805-1.25MM
Change Physical Footprint: Designator=C46 Old Footprint=C0603-0.8MM New Footprint=C0603-0.8MM
Change Physical Footprint: Designator=C47 Old Footprint=0402-0.55mm New Footprint=0402-0.55mm
